,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_vf_coef,state
25,25,-148088.0,2021-12-16 01:57:00.685771,2021-12-16 01:57:27.851108,0 days 00:00:27.165337,relu,32,0.1,1.5846690551056465e-05,0.9,0.9,0.013852788360462035,0.9,1,128,medium,0.7207892308509842,PRUNED
26,26,-50264.0,2021-12-16 01:57:27.855489,2021-12-16 01:58:03.557369,0 days 00:00:35.701880,relu,128,0.4,0.00016880877915781726,0.8,0.9,0.00049227644602651,0.3,1,8,small,0.9330129915321428,PRUNED
27,27,-976.0,2021-12-16 01:58:03.561814,2021-12-16 02:06:53.596131,0 days 00:08:50.034317,relu,64,0.3,0.012909039067945246,0.99,0.95,0.02464660756243101,5.0,5,8,medium,0.4064819158745193,COMPLETE
28,28,-52.0,2021-12-16 02:06:53.609328,2021-12-16 02:26:02.249957,0 days 00:19:08.640629,relu,16,0.2,4.51517983139423e-07,0.92,0.98,0.09272503902961178,0.7,20,128,medium,0.8088449753576787,COMPLETE
29,29,-968.0,2021-12-16 02:26:02.263862,2021-12-16 02:34:13.225579,0 days 00:08:10.961717,relu,16,0.3,2.8607047659819897e-07,0.92,0.98,0.1024042891254149,1.0,20,128,small,0.8024993339029343,COMPLETE
30,30,-98876.0,2021-12-16 02:34:13.238679,2021-12-16 02:39:03.814300,0 days 00:04:50.575621,relu,16,0.1,1.1131258451784679e-07,0.92,0.98,0.3558422389018676,0.7,20,2048,medium,0.9992529835082805,PRUNED
31,31,-392.0,2021-12-16 02:39:03.818841,2021-12-16 02:58:13.032059,0 days 00:19:09.213218,relu,16,0.2,1.342392599583867e-06,0.8,0.98,0.005171560190057666,0.7,20,128,medium,0.6902314690622202,COMPLETE
32,32,-632.0,2021-12-16 02:58:13.045383,2021-12-16 03:17:22.375154,0 days 00:19:09.329771,relu,16,0.2,4.0608239060376724e-07,0.92,0.98,0.05135367010223167,0.7,20,128,medium,0.9038026949165503,COMPLETE
33,33,-150232.0,2021-12-16 03:17:22.388358,2021-12-16 03:17:45.692961,0 days 00:00:23.304603,relu,256,0.2,2.6518503460093543e-06,0.95,0.995,0.46039501431236274,0.7,1,512,medium,0.5460962230966735,PRUNED
34,34,-242.0,2021-12-16 03:17:45.697486,2021-12-16 03:52:03.179546,0 days 00:34:17.482060,relu,8,0.2,0.0001243708939297141,1.0,0.9999,0.15688603749842175,0.3,20,1024,medium,0.15661874238165513,COMPLETE
35,35,-744.0,2021-12-16 03:52:03.192755,2021-12-16 04:26:37.092067,0 days 00:34:33.899312,relu,8,0.2,0.0001592690446781173,1.0,0.9999,0.14937485064519596,0.3,20,1024,medium,0.8346850560292667,COMPLETE
36,36,296.0,2021-12-16 04:26:37.106280,2021-12-16 05:00:54.321267,0 days 00:34:17.214987,tanh,8,0.4,0.039353031577952634,1.0,0.9999,0.4310204365380465,0.3,20,1024,medium,0.4839689730878012,COMPLETE
