,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_vf_coef,state
54,54,-1208.0,2021-12-13 07:06:14.842618,2021-12-13 07:06:43.074818,0 days 00:00:28.232200,tanh,128,0.2,1.4820547129117876e-07,0.92,0.995,0.12866055660387904,0.3,1,32,medium,0.33050776830552686,PRUNED
55,55,-250000.0,2021-12-13 07:06:43.080431,2021-12-13 07:07:07.368994,0 days 00:00:24.288563,tanh,256,0.2,2.7034925102080936e-08,0.95,0.9,0.0012102533966075555,0.6,1,128,small,0.3782651649539049,PRUNED
56,56,-250000.0,2021-12-13 07:07:07.374337,2021-12-13 07:10:04.222680,0 days 00:02:56.848343,tanh,64,0.4,1.0031481214525206e-05,1.0,0.98,0.06619457562185065,0.3,20,512,medium,0.29766169027512257,PRUNED
57,57,-328.0,2021-12-13 07:10:04.228342,2021-12-13 07:11:13.385602,0 days 00:01:09.157260,tanh,32,0.3,1.0096931859692998e-08,0.9,0.95,0.3277558668259628,0.3,1,16,small,0.48849572287280807,COMPLETE
58,58,-250000.0,2021-12-13 07:11:13.400830,2021-12-13 07:16:49.566613,0 days 00:05:36.165783,tanh,8,0.1,9.756281961289828e-07,1.0,0.995,0.00010352964799576226,0.6,20,32,small,0.5360885621927723,PRUNED
59,59,-250000.0,2021-12-13 07:16:49.572384,2021-12-13 07:20:56.071256,0 days 00:04:06.498872,tanh,512,0.4,1.7756924997246867e-06,0.8,0.9999,0.6736748507841855,0.7,20,64,small,0.4385697928413387,COMPLETE
60,60,-804.0,2021-12-13 07:20:56.086377,2021-12-13 07:40:41.032869,0 days 00:19:44.946492,tanh,16,0.2,4.563425661874147e-07,0.92,0.99,0.040647754758567176,5.0,10,8,medium,0.9551062585280217,COMPLETE
61,61,-250000.0,2021-12-13 07:40:41.048154,2021-12-13 07:41:16.867811,0 days 00:00:35.819657,tanh,64,0.2,4.2694416376211555e-08,0.92,0.995,0.5686868984319978,0.3,1,128,medium,0.13755834098081315,PRUNED
62,62,-132.0,2021-12-13 07:41:16.873310,2021-12-13 07:42:39.452830,0 days 00:01:22.579520,tanh,64,0.2,6.503076889159808e-08,0.92,0.995,0.3670210212383205,0.3,1,128,medium,0.18672550328759632,COMPLETE
63,63,-808.0,2021-12-13 07:42:39.468167,2021-12-13 07:43:03.632921,0 days 00:00:24.164754,tanh,64,0.2,8.889457878056662e-08,0.92,0.995,0.299131726899506,0.3,1,128,medium,0.17761501794271345,PRUNED
64,64,-250000.0,2021-12-13 07:43:03.639047,2021-12-13 07:44:57.758894,0 days 00:01:54.119847,tanh,64,0.2,1.5226199898084195e-07,1.0,0.995,0.121577626536614,0.3,1,128,medium,0.08180119005430186,COMPLETE
65,65,-744.0,2021-12-13 07:44:57.773113,2021-12-13 07:45:55.091019,0 days 00:00:57.317906,tanh,128,0.3,4.2556426631569696e-05,0.92,0.98,0.1948386125944624,2.0,1,32,small,0.31197688558922054,COMPLETE
66,66,-250000.0,2021-12-13 07:45:55.106761,2021-12-13 07:46:27.465247,0 days 00:00:32.358486,tanh,512,0.1,6.89378403907902e-08,0.98,0.999,0.10375938315859716,0.3,1,512,medium,0.2455671473024826,PRUNED
67,67,-250000.0,2021-12-13 07:46:27.470890,2021-12-13 07:48:23.165764,0 days 00:01:55.694874,tanh,32,0.4,3.462896187024403e-07,0.99,0.95,0.020524727902739088,1.0,20,32,small,0.8645193144939134,PRUNED
68,68,-250000.0,2021-12-13 07:48:23.171221,2021-12-13 07:48:57.429818,0 days 00:00:34.258597,tanh,64,0.2,2.5616007865033527e-08,1.0,0.9999,0.890325733525294,0.6,5,2048,small,0.38576612876965827,PRUNED
69,69,-1264.0,2021-12-13 07:48:57.435159,2021-12-13 07:55:51.366282,0 days 00:06:53.931123,relu,512,0.1,1.63496866387765e-07,0.99,0.995,0.004718561772108436,0.9,20,256,medium,0.25838304088571584,COMPLETE
70,70,-47248.0,2021-12-13 07:55:51.381816,2021-12-13 07:56:06.780739,0 days 00:00:15.398923,tanh,128,0.3,0.05724855603665638,0.92,0.995,0.0012785210149884973,0.5,1,128,small,0.6282800743687296,PRUNED
71,71,-232.0,2021-12-13 07:56:06.786524,2021-12-13 07:57:28.137955,0 days 00:01:21.351431,tanh,64,0.2,4.081815884025347e-08,0.92,0.995,0.4130643089086941,0.3,1,128,medium,0.2014213961210904,COMPLETE
72,72,-326.0,2021-12-13 07:57:28.153526,2021-12-13 07:58:49.783010,0 days 00:01:21.629484,tanh,64,0.2,1.6176434288541666e-08,0.92,0.995,0.39887513054147333,0.3,1,128,medium,0.1831773644738995,COMPLETE
73,73,-1136.0,2021-12-13 07:58:49.798340,2021-12-13 08:00:10.848312,0 days 00:01:21.049972,tanh,64,0.2,0.0006726644742960741,0.92,0.995,0.19293903821701733,0.3,1,128,medium,0.09775640424797385,COMPLETE
74,74,-249796.0,2021-12-13 08:00:10.863595,2021-12-13 08:00:44.885888,0 days 00:00:34.022293,tanh,64,0.2,5.787783865924045e-08,1.0,0.995,0.00030880237230224855,0.3,1,1024,medium,0.27475248149596165,PRUNED
75,75,-278.0,2021-12-13 08:00:44.891082,2021-12-13 08:02:19.880539,0 days 00:01:34.989457,tanh,64,0.2,8.885508291185061e-08,0.92,0.98,0.24827736950828763,0.3,1,32,medium,0.16227498712506164,COMPLETE
76,76,12.0,2021-12-13 08:02:19.897765,2021-12-13 08:05:22.893712,0 days 00:03:02.995947,tanh,256,0.1,0.024142066433172925,0.95,0.95,0.5076258606400816,0.3,20,128,small,0.2179949709876477,COMPLETE
77,77,-250000.0,2021-12-13 08:05:22.910409,2021-12-13 08:06:15.987858,0 days 00:00:53.077449,tanh,256,0.1,0.015443181902381793,0.95,0.95,0.766961683901758,0.8,20,512,small,0.03470068826310374,PRUNED
78,78,-250000.0,2021-12-13 08:06:15.993324,2021-12-13 08:07:38.271335,0 days 00:01:22.278011,tanh,256,0.1,0.012496095677740795,0.95,0.95,4.529312030425886e-05,0.3,20,64,small,0.5776745067139497,PRUNED
79,79,-320.0,2021-12-13 08:07:38.277022,2021-12-13 08:17:21.680637,0 days 00:09:43.403615,relu,256,0.1,0.00016589902710463305,0.95,0.95,0.08500698276894639,0.6,20,16,small,0.4793109969355418,COMPLETE
80,80,-250000.0,2021-12-13 08:17:21.696126,2021-12-13 08:19:17.420658,0 days 00:01:55.724532,tanh,256,0.1,2.8035485093021773e-06,0.95,0.95,0.5374677167217592,0.3,20,32,small,0.6668456536010586,PRUNED
81,81,-404.0,2021-12-13 08:19:17.426368,2021-12-13 08:25:10.277206,0 days 00:05:52.850838,tanh,32,0.1,3.397827076675854e-08,0.99,0.9999,0.4674880678144534,0.3,20,128,small,0.2197244312848502,COMPLETE
82,82,-1008.0,2021-12-13 08:25:10.292685,2021-12-13 08:26:40.341801,0 days 00:01:30.049116,tanh,64,0.4,1.7443304962419812e-08,0.9,0.9,0.2522225159605939,0.3,5,128,small,0.3672414934712312,COMPLETE
83,83,-250000.0,2021-12-13 08:26:40.357409,2021-12-13 08:27:42.048554,0 days 00:01:01.691145,tanh,8,0.2,0.03508675841832373,0.8,0.995,0.37490884940092206,0.3,1,128,medium,0.2669421468340932,PRUNED
84,84,-250000.0,2021-12-13 08:27:42.054154,2021-12-13 08:28:25.535741,0 days 00:00:43.481587,tanh,512,0.1,1.214696075062211e-06,1.0,0.999,0.066998083340887,0.3,10,128,small,0.3179669651975154,PRUNED
85,85,-250000.0,2021-12-13 08:28:25.541303,2021-12-13 08:30:58.153674,0 days 00:02:32.612371,tanh,128,0.3,7.127966106370083e-07,0.92,0.95,0.16121553512609174,0.3,20,128,medium,0.10733357968275677,PRUNED
86,86,-1370.0,2021-12-13 08:30:58.159372,2021-12-13 08:32:34.313950,0 days 00:01:36.154578,tanh,64,0.2,3.5545538510677557e-07,0.99,0.99,0.008253666641200107,5.0,1,8,small,0.42972991666729166,COMPLETE
87,87,-250000.0,2021-12-13 08:32:34.329473,2021-12-13 08:39:24.659803,0 days 00:06:50.330330,tanh,16,0.4,0.005157617381399419,0.98,0.995,0.615152987591035,0.7,20,32,medium,0.16009082730077587,PRUNED
88,88,-250000.0,2021-12-13 08:39:24.665587,2021-12-13 08:39:51.571233,0 days 00:00:26.905646,tanh,32,0.1,0.09233999942517483,0.92,0.98,0.0006924748478681452,0.3,1,128,small,0.5041034042541978,PRUNED
89,89,-250000.0,2021-12-13 08:39:51.576939,2021-12-13 08:42:48.364272,0 days 00:02:56.787333,tanh,64,0.2,1.2263945970381668e-07,1.0,0.9999,0.11373848899379353,2.0,20,512,medium,0.21013225435504318,PRUNED
90,90,-250000.0,2021-12-13 08:42:48.369841,2021-12-13 08:43:11.805542,0 days 00:00:23.435701,tanh,256,0.3,2.393194883737478e-07,0.95,0.995,0.2212836646257564,0.9,1,2048,small,0.3466751794688786,PRUNED
91,91,-836.0,2021-12-13 08:43:11.811318,2021-12-13 08:45:12.195734,0 days 00:02:00.384416,tanh,512,0.4,2.447192503411772e-05,1.0,0.999,0.043723975627865855,0.6,5,32,small,0.8083796057362057,COMPLETE
92,92,-904.0,2021-12-13 08:45:12.211092,2021-12-13 08:47:12.285243,0 days 00:02:00.074151,tanh,512,0.1,1.411019573077444e-06,1.0,0.95,0.01471127407929386,0.6,5,32,small,0.606759161620801,COMPLETE
93,93,-774.0,2021-12-13 08:47:12.300815,2021-12-13 08:49:19.866571,0 days 00:02:07.565756,tanh,512,0.4,5.104931451721937e-07,1.0,0.999,0.15671604349669335,0.6,5,32,small,0.6988985560936132,COMPLETE
94,94,-404.0,2021-12-13 08:49:19.889410,2021-12-13 08:51:23.248537,0 days 00:02:03.359127,tanh,512,0.4,6.345171694150686e-06,0.99,0.999,0.03494438764307963,1.0,5,32,small,0.7746362590033774,COMPLETE
95,95,-149598.0,2021-12-13 08:51:23.264332,2021-12-13 08:52:39.701556,0 days 00:01:16.437224,tanh,64,0.4,2.5651032396672386e-06,0.92,0.999,1.1227338476091076e-05,0.6,20,256,small,0.658270284608183,PRUNED
96,96,-1070.0,2021-12-13 08:52:39.707078,2021-12-13 08:53:27.479836,0 days 00:00:47.772758,relu,128,0.4,1.958461608397116e-07,1.0,0.995,0.05941922589063418,0.3,5,128,medium,0.7334588420436585,PRUNED
97,97,-482.0,2021-12-13 08:53:27.485486,2021-12-13 08:54:26.817870,0 days 00:00:59.332384,tanh,64,0.2,6.020857637291708e-08,0.9,0.98,0.0028934496047779675,0.5,1,32,small,0.4018673169501135,COMPLETE
98,98,-247754.0,2021-12-13 08:54:26.834026,2021-12-13 08:55:25.465812,0 days 00:00:58.631786,tanh,32,0.2,3.260731759444255e-08,0.99,0.995,0.025911820831193286,0.8,10,1024,small,0.9455844689475816,PRUNED
99,99,-250000.0,2021-12-13 08:55:25.471795,2021-12-13 08:57:59.897315,0 days 00:02:34.425520,tanh,512,0.1,1.3468548775448915e-08,0.92,0.9,0.2841326540116624,0.3,20,128,medium,0.557650202511196,PRUNED
100,100,-250000.0,2021-12-13 08:57:59.903209,2021-12-13 08:59:14.977769,0 days 00:01:15.074560,tanh,64,0.3,5.065782555659004e-06,0.8,0.9999,0.09896841801408987,0.3,1,512,small,0.9950663818968889,COMPLETE
101,101,-212.0,2021-12-13 08:59:14.993739,2021-12-13 09:06:45.632260,0 days 00:07:30.638521,tanh,256,0.3,9.267139514616673e-07,0.99,0.9,0.9916848178971285,0.8,10,32,medium,0.7741275918895617,COMPLETE
102,102,-250000.0,2021-12-13 09:06:45.648598,2021-12-13 09:09:12.034062,0 days 00:02:26.385464,tanh,256,0.3,9.28958490315636e-06,0.99,0.9,0.857675860437808,0.8,10,32,medium,0.8631320262258617,PRUNED
103,103,-250000.0,2021-12-13 09:09:12.039655,2021-12-13 09:11:38.336320,0 days 00:02:26.296665,tanh,256,0.3,9.689009008852765e-07,0.99,0.995,0.7297110135464183,0.8,10,32,medium,0.78625007255074,PRUNED
104,104,-250000.0,2021-12-13 09:11:38.342061,2021-12-13 09:14:06.250320,0 days 00:02:27.908259,tanh,256,0.3,3.588784005996399e-06,0.99,0.9,0.494341024978401,0.8,10,32,medium,0.827100917357982,PRUNED
105,105,-250000.0,2021-12-13 09:14:06.256020,2021-12-13 09:20:20.431028,0 days 00:06:14.175008,tanh,8,0.3,1.621078933568171e-05,1.0,0.9,0.9666140704553711,0.6,10,16,medium,0.7458337308058354,PRUNED
106,106,-940.0,2021-12-13 09:20:20.436535,2021-12-13 09:21:50.203776,0 days 00:01:29.767241,tanh,256,0.2,3.175306284590208e-07,0.92,0.99,0.3867274655424076,0.3,1,64,medium,0.5323904684523613,COMPLETE
107,107,-250000.0,2021-12-13 09:21:50.219521,2021-12-13 09:26:18.259889,0 days 00:04:28.040368,tanh,128,0.4,1.076751637161144e-07,0.99,0.95,0.5954488739699364,0.3,20,32,medium,0.5971720985477467,PRUNED
108,108,-250000.0,2021-12-13 09:26:18.265549,2021-12-13 09:26:43.620970,0 days 00:00:25.355421,tanh,64,0.1,2.09867989595213e-06,0.98,0.995,0.001539567094669591,0.7,1,128,small,0.4609731571436595,PRUNED
109,109,-660.0,2021-12-13 09:26:43.626494,2021-12-13 09:49:25.547747,0 days 00:22:41.921253,relu,16,0.2,5.425030255410598e-08,0.95,0.98,0.31671862311405985,5.0,20,32,medium,0.23233751950727322,COMPLETE
110,110,-752.0,2021-12-13 09:49:25.563215,2021-12-13 09:51:06.280862,0 days 00:01:40.717647,tanh,64,0.3,8.371718733369324e-07,0.92,0.995,0.0008682670554675179,0.3,1,8,small,0.877679018584648,COMPLETE
111,111,-768.0,2021-12-13 09:51:06.299085,2021-12-13 09:58:42.813590,0 days 00:07:36.514505,tanh,256,0.3,2.1103445004481602e-08,0.99,0.9,0.06901747751836303,0.8,10,32,medium,0.7215280358178225,COMPLETE
112,112,-250000.0,2021-12-13 09:58:42.829368,2021-12-13 10:01:11.241219,0 days 00:02:28.411851,tanh,256,0.3,6.428319473163057e-07,0.99,0.9,0.14757210502042747,0.8,10,32,medium,0.7653232173220872,PRUNED
113,113,-1184.0,2021-12-13 10:01:11.247111,2021-12-13 10:09:01.147022,0 days 00:07:49.899911,tanh,256,0.3,1.4751422839835535e-06,0.99,0.9,0.049213019397532955,0.8,10,32,medium,0.6907326931166562,COMPLETE
114,114,-1448.0,2021-12-13 10:09:01.164010,2021-12-13 10:13:34.255164,0 days 00:04:33.091154,tanh,256,0.3,4.0044938854090266e-07,0.99,0.9,0.1827063008756566,0.8,10,128,medium,0.29657095349213564,COMPLETE
