,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_vf_coef,state
0,0,-560.0,2021-12-13 03:14:23.978250,2021-12-13 03:19:50.729780,0 days 00:05:26.751530,tanh,64,0.1,0.0009218360920407727,0.8,0.9999,0.0057450352950237284,0.8,10,64,medium,0.3179771348290872,COMPLETE
1,1,-1658.0,2021-12-13 03:19:50.748309,2021-12-13 03:24:01.334323,0 days 00:04:10.586014,tanh,64,0.4,0.001793295778099675,0.99,0.995,0.3174141059953945,0.7,20,1024,small,0.7428434786210398,COMPLETE
2,2,-1154.0,2021-12-13 03:24:01.350646,2021-12-13 03:26:04.349959,0 days 00:02:02.999313,relu,16,0.1,5.738017904789208e-08,0.98,0.95,0.00015246414802926134,0.6,1,64,medium,0.2758176257301139,COMPLETE
3,3,20.0,2021-12-13 03:26:04.366854,2021-12-13 03:31:58.500208,0 days 00:05:54.133354,tanh,512,0.4,3.904412199057682e-07,1.0,0.95,0.05449330051856364,0.6,20,32,small,0.8979475600547089,COMPLETE
4,4,-568.0,2021-12-13 03:31:58.515318,2021-12-13 03:34:58.065737,0 days 00:02:59.550419,relu,256,0.2,0.0045010554519793015,0.95,0.9,0.0006450692068726258,0.8,20,2048,small,0.030439254775223357,COMPLETE
5,5,-1120.0,2021-12-13 03:34:58.080691,2021-12-13 03:54:57.634866,0 days 00:19:59.554175,relu,8,0.2,1.197789882367384e-06,0.95,0.95,0.047897803664946184,0.5,10,256,medium,0.45281577275992047,COMPLETE
6,6,-98664.0,2021-12-13 03:54:57.650889,2021-12-13 03:56:19.893587,0 days 00:01:22.242698,relu,512,0.4,0.009795613490290853,0.92,0.99,2.9263514242996006e-05,0.8,1,128,medium,0.9733412789254869,COMPLETE
7,7,-250000.0,2021-12-13 03:56:19.909136,2021-12-13 03:58:05.247923,0 days 00:01:45.338787,relu,256,0.1,1.4754869283396115e-07,0.9,0.9,0.28968100249683365,0.7,1,16,small,0.004064908308376913,COMPLETE
8,8,-250000.0,2021-12-13 03:58:05.266616,2021-12-13 04:04:17.815004,0 days 00:06:12.548388,tanh,64,0.3,6.901950810174502e-05,0.9,0.98,0.434518525679161,0.5,10,256,medium,0.7065937586058795,COMPLETE
9,9,-250000.0,2021-12-13 04:04:17.829984,2021-12-13 04:26:30.141218,0 days 00:22:12.311234,relu,8,0.2,0.00015792689312578025,0.99,0.95,0.004959231091967861,0.8,10,2048,medium,0.8956031163773185,COMPLETE
10,10,-206.0,2021-12-13 04:26:30.156139,2021-12-13 04:28:30.338413,0 days 00:02:00.182274,tanh,512,0.4,5.043456406986391e-06,1.0,0.999,0.028962500821441556,0.6,5,32,small,0.6890384800625298,COMPLETE
11,11,-356.0,2021-12-13 04:28:30.353413,2021-12-13 04:30:30.241077,0 days 00:01:59.887664,tanh,512,0.4,3.739337232828331e-06,1.0,0.999,0.029551547080320557,0.6,5,32,small,0.6961777711416907,COMPLETE
12,12,-250000.0,2021-12-13 04:30:30.256459,2021-12-13 04:31:15.771547,0 days 00:00:45.515088,tanh,512,0.4,1.0904208811660749e-08,1.0,0.999,0.04382497258276276,5.0,5,32,small,0.8070539578723677,PRUNED
13,13,-1150.0,2021-12-13 04:31:15.776837,2021-12-13 04:33:14.125514,0 days 00:01:58.348677,tanh,128,0.4,4.1822424513054345e-06,1.0,0.999,0.013211708397971799,0.6,5,32,small,0.5657366155648408,COMPLETE
14,14,500.0,2021-12-13 04:33:14.140669,2021-12-13 04:39:28.002748,0 days 00:06:13.862079,tanh,32,0.3,7.061959152230664e-07,1.0,0.98,0.0011914362051168525,0.3,20,512,small,0.5716771293542668,COMPLETE
15,15,-250000.0,2021-12-13 04:39:28.018148,2021-12-13 04:41:15.828088,0 days 00:01:47.809940,tanh,32,0.3,3.8570773936070076e-07,1.0,0.98,0.0009463163264864116,0.3,20,512,small,0.5204481825201521,PRUNED
16,16,-750.0,2021-12-13 04:41:15.833582,2021-12-13 04:47:17.008249,0 days 00:06:01.174667,tanh,32,0.3,2.152058520341154e-08,0.8,0.98,0.0009188398615103058,0.3,20,512,small,0.9833661718255562,COMPLETE
17,17,-1320.0,2021-12-13 04:47:17.023236,2021-12-13 05:05:32.571358,0 days 00:18:15.548122,tanh,32,0.3,0.050074725275213616,0.92,0.995,1.7053964050238908e-05,2.0,20,8,small,0.3817181325735167,COMPLETE
18,18,-250000.0,2021-12-13 05:05:32.586642,2021-12-13 05:08:20.384237,0 days 00:02:47.797595,tanh,16,0.3,2.355649617986216e-05,0.98,0.99,7.372341531896498e-05,0.9,20,512,small,0.1330186991105125,PRUNED
19,19,-784.0,2021-12-13 05:08:20.389800,2021-12-13 05:26:32.097907,0 days 00:18:11.708107,tanh,128,0.3,4.4069692295873063e-07,1.0,0.9999,0.00020944239421887185,1.0,20,8,small,0.598241727709645,COMPLETE
20,20,-1592.0,2021-12-13 05:26:32.113034,2021-12-13 05:32:39.094632,0 days 00:06:06.981598,tanh,32,0.4,1.2688654172617746e-07,1.0,0.95,0.08947070765374844,0.3,20,1024,small,0.8408195566230018,COMPLETE
21,21,-840.0,2021-12-13 05:32:39.109972,2021-12-13 05:34:42.488189,0 days 00:02:03.378217,tanh,512,0.4,6.33488563282625e-06,1.0,0.999,0.01192934245737489,0.6,5,32,small,0.6684463529052324,COMPLETE
22,22,-250000.0,2021-12-13 05:34:42.503367,2021-12-13 05:35:28.178549,0 days 00:00:45.675182,tanh,512,0.4,9.828525609163001e-07,1.0,0.98,0.0841219033258458,0.6,5,32,small,0.6206476555845496,PRUNED
23,23,-1328.0,2021-12-13 05:35:28.184062,2021-12-13 05:38:25.407149,0 days 00:02:57.223087,tanh,512,0.4,1.617294443706729e-05,1.0,0.95,0.017693207954504724,2.0,5,16,small,0.8137031242014056,COMPLETE
24,24,-368.0,2021-12-13 05:38:25.422311,2021-12-13 05:41:27.112013,0 days 00:03:01.689702,tanh,512,0.4,1.5256978967059588e-06,1.0,0.999,0.9908302424030648,5.0,20,128,small,0.9104120865931411,COMPLETE
25,25,-728.0,2021-12-13 05:41:27.126932,2021-12-13 05:43:09.864566,0 days 00:01:42.737634,tanh,32,0.3,9.690298267531876e-05,1.0,0.98,0.00219106736917725,1.0,20,512,small,0.4614394487793996,PRUNED
26,26,-332.0,2021-12-13 05:43:09.869957,2021-12-13 05:45:11.989380,0 days 00:02:02.119423,tanh,512,0.2,2.659512366463458e-07,0.9,0.99,0.0019572778039564677,0.9,5,32,small,0.734118494075418,COMPLETE
27,27,300.0,2021-12-13 05:45:12.004422,2021-12-13 05:46:10.372264,0 days 00:00:58.367842,tanh,128,0.1,4.996343827384391e-08,0.99,0.9999,0.11247208254235691,0.3,1,32,small,0.5199761497636759,COMPLETE
28,28,-250000.0,2021-12-13 05:46:10.387206,2021-12-13 05:46:33.274926,0 days 00:00:22.887720,tanh,128,0.1,5.357729625532212e-08,0.99,0.9999,0.14393405635972617,0.3,1,512,small,0.20980102804310324,PRUNED
29,29,-95882.0,2021-12-13 05:46:33.280549,2021-12-13 05:47:08.137114,0 days 00:00:34.856565,tanh,128,0.1,3.7179865585585454e-08,0.8,0.9999,0.0067322805894696825,0.3,1,64,medium,0.3586455872018829,PRUNED
30,30,-384.0,2021-12-13 05:47:08.142508,2021-12-13 05:48:05.253936,0 days 00:00:57.111428,tanh,128,0.1,0.0003497717835618659,0.99,0.9999,0.9426390054976355,0.3,1,32,small,0.5213389899356481,COMPLETE
31,31,-1592.0,2021-12-13 05:48:05.269004,2021-12-13 05:48:23.649687,0 days 00:00:18.380683,tanh,256,0.1,7.557132208332542e-06,0.99,0.9999,0.14643079517876642,0.6,1,32,small,0.638885455949987,PRUNED
32,32,264.0,2021-12-13 05:48:23.654598,2021-12-13 05:54:18.573697,0 days 00:05:54.919099,tanh,64,0.1,7.634122131624388e-07,0.99,0.995,0.005522915606765613,0.3,20,32,small,0.42477301863635597,COMPLETE
33,33,-250000.0,2021-12-13 05:54:18.588552,2021-12-13 05:55:29.650130,0 days 00:01:11.061578,tanh,64,0.1,1.3643218368978251e-07,0.99,0.995,0.0004797611291915173,0.3,20,1024,small,0.4044132166273423,PRUNED
34,34,-798.0,2021-12-13 05:55:29.655646,2021-12-13 06:01:21.409070,0 days 00:05:51.753424,tanh,64,0.1,5.824544294555235e-07,0.99,0.995,0.003882630229408464,0.3,20,32,small,0.28461742827186487,COMPLETE
35,35,-250000.0,2021-12-13 06:01:21.424485,2021-12-13 06:02:42.883962,0 days 00:01:21.459477,relu,64,0.1,1.1615524697766924e-08,0.95,0.995,0.008129689628267007,0.7,20,64,small,0.44968081935134674,PRUNED
36,36,-199520.0,2021-12-13 06:02:42.888966,2021-12-13 06:08:23.757995,0 days 00:05:40.869029,tanh,16,0.1,2.056708698436022e-06,0.98,0.9,0.00025791110725293287,0.3,20,2048,medium,0.5470961243595962,PRUNED
37,37,-250000.0,2021-12-13 06:08:23.763366,2021-12-13 06:11:19.287485,0 days 00:02:55.524119,relu,8,0.1,8.32801474973327e-08,0.99,0.95,0.001741201156823331,0.5,10,256,small,0.2344183266577629,PRUNED
38,38,-98.0,2021-12-13 06:11:19.293003,2021-12-13 06:12:41.014807,0 days 00:01:21.721804,tanh,64,0.2,2.907594092183725e-08,0.92,0.995,0.2627315355121914,0.3,1,128,medium,0.3477471382365474,COMPLETE
39,39,-1114.0,2021-12-13 06:12:41.030187,2021-12-13 06:22:22.936100,0 days 00:09:41.905913,relu,64,0.1,2.2050900745376448e-07,0.95,0.95,0.033426791982043784,0.7,20,16,small,0.46572226431245806,COMPLETE
40,40,-228.0,2021-12-13 06:22:22.951568,2021-12-13 06:29:52.538324,0 days 00:07:29.586756,tanh,256,0.3,8.027241367762964e-07,0.99,0.9,0.07997076197824227,0.8,10,32,medium,0.7621219133394611,COMPLETE
41,41,-1204.0,2021-12-13 06:29:52.553338,2021-12-13 06:31:14.271845,0 days 00:01:21.718507,tanh,64,0.2,2.2121707138040427e-08,0.92,0.995,0.2556269488188148,0.3,1,128,medium,0.34797167327429335,COMPLETE
42,42,-152.0,2021-12-13 06:31:14.286797,2021-12-13 06:32:37.988613,0 days 00:01:23.701816,tanh,64,0.2,4.539257867053701e-08,0.92,0.995,0.46757835733383074,0.3,1,128,medium,0.3040015625404838,COMPLETE
43,43,-680.0,2021-12-13 06:32:38.003874,2021-12-13 06:34:00.973498,0 days 00:01:22.969624,tanh,64,0.2,7.085219844918423e-08,0.92,0.995,0.18933663187414013,0.3,1,128,medium,0.42034720407963366,COMPLETE
44,44,-250000.0,2021-12-13 06:34:00.989000,2021-12-13 06:35:02.400844,0 days 00:01:01.411844,tanh,8,0.2,2.6971614356467262e-08,0.92,0.995,0.4719627691208777,5.0,1,128,medium,0.1384476124910087,PRUNED
45,45,-1192.0,2021-12-13 06:35:02.406504,2021-12-13 06:37:59.210071,0 days 00:02:56.803567,relu,128,0.2,2.6407250962221013e-07,0.9,0.98,0.05597493942993122,0.5,1,8,medium,0.4976855672792649,COMPLETE
46,46,-1544.0,2021-12-13 06:37:59.226753,2021-12-13 06:52:09.566312,0 days 00:14:10.339559,tanh,32,0.1,2.8728987354613016e-06,0.8,0.95,0.024521340556025138,0.3,20,256,medium,0.5755851191345738,COMPLETE
47,47,-250000.0,2021-12-13 06:52:09.582137,2021-12-13 06:52:33.986958,0 days 00:00:24.404821,tanh,64,0.2,1.0288918307387736e-07,0.98,0.9999,0.0005249534587924892,2.0,1,2048,small,0.34282755949256016,PRUNED
48,48,-1072.0,2021-12-13 06:52:33.992584,2021-12-13 06:57:45.580748,0 days 00:05:11.588164,tanh,16,0.3,0.0027713269765592048,0.99,0.98,0.3226863066591137,0.9,10,32,small,0.24111568428253055,COMPLETE
49,49,-672.0,2021-12-13 06:57:45.596488,2021-12-13 06:59:28.398963,0 days 00:01:42.802475,relu,32,0.3,1.5758615470991035e-08,0.92,0.99,0.011629116842393882,1.0,20,512,small,0.41311646270239055,PRUNED
50,50,-250000.0,2021-12-13 06:59:28.404653,2021-12-13 07:02:08.169354,0 days 00:02:39.764701,tanh,64,0.4,6.046532628964993e-07,0.99,0.995,0.0027301335368906583,0.8,20,1024,medium,0.9073735606483506,PRUNED
51,51,-158.0,2021-12-13 07:02:08.174878,2021-12-13 07:03:29.853812,0 days 00:01:21.678934,tanh,64,0.2,4.267246372691885e-08,0.92,0.995,0.451581915336899,0.3,1,128,medium,0.1929837497281643,COMPLETE
52,52,-434.0,2021-12-13 07:03:29.868656,2021-12-13 07:04:53.532407,0 days 00:01:23.663751,tanh,64,0.2,4.8460348435080475e-08,0.92,0.995,0.6442943708239303,0.3,1,128,medium,0.2952050321754698,COMPLETE
53,53,-424.0,2021-12-13 07:04:53.547454,2021-12-13 07:06:14.826387,0 days 00:01:21.278933,tanh,64,0.2,2.374886049745759e-07,0.92,0.995,0.2036297356866455,0.3,1,128,medium,0.07567255187411465,COMPLETE
