,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_vf_coef,state
27,27,-302.0,2021-12-11 18:17:57.089068,2021-12-11 18:18:50.104264,0 days 00:00:53.015196,8,0.3,0.0006176308276022186,0.95,0.9999,0.3477431742836504,0.9,1,8,0.2873028280646954,PRUNED
28,28,-250000.0,2021-12-11 18:18:50.120221,2021-12-11 18:20:36.444826,0 days 00:01:46.324605,32,0.3,0.028991292004867518,0.92,0.95,0.06368862234100624,5.0,20,256,0.4387052311201728,PRUNED
29,29,-1510.0,2021-12-11 18:20:36.459786,2021-12-11 18:22:23.653067,0 days 00:01:47.193281,512,0.3,0.007180269034101429,0.9,0.98,0.010100259891027868,5.0,5,8,0.5542964487291995,PRUNED
30,30,-534.0,2021-12-11 18:22:23.668027,2021-12-11 18:24:11.566422,0 days 00:01:47.898395,256,0.2,5.734319069496792e-05,1.0,0.995,0.11467838747562867,0.9,5,8,0.3370996031403571,PRUNED
31,31,-1370.0,2021-12-11 18:24:11.581382,2021-12-11 18:25:19.273321,0 days 00:01:07.691939,512,0.3,0.0028567460293510757,0.9,0.98,0.0018503917293650812,1.0,5,16,0.8537118949766562,PRUNED
32,32,-594.0,2021-12-11 18:25:19.290275,2021-12-11 18:25:53.387074,0 days 00:00:34.096799,512,0.1,0.02664117723477969,0.9,0.98,0.021362780372559908,5.0,5,128,0.6879247452936903,PRUNED
33,33,-786.0,2021-12-11 18:25:53.403031,2021-12-11 18:27:03.272146,0 days 00:01:09.869115,512,0.2,2.7772464722444033e-07,0.9,0.9,0.006224688201872173,5.0,20,64,0.5825770154560221,PRUNED
34,34,-1582.0,2021-12-11 18:27:03.287107,2021-12-11 18:27:35.110984,0 days 00:00:31.823877,256,0.4,0.042062868430946275,0.98,0.99,0.0008240710094945159,0.3,5,256,0.6952065579494454,PRUNED
35,35,-1436.0,2021-12-11 18:27:35.125944,2021-12-11 18:33:04.205727,0 days 00:05:29.079783,16,0.3,0.09617467301309282,0.8,0.98,0.01927783897173422,0.8,20,8,0.4364465280985243,PRUNED
36,36,-149440.0,2021-12-11 18:33:04.222682,2021-12-11 18:33:37.833779,0 days 00:00:33.611097,512,0.1,0.0050157333216455675,0.99,0.9,0.0023930171778745114,5.0,5,256,0.6293609166444342,PRUNED
37,37,-250000.0,2021-12-11 18:33:37.848740,2021-12-11 18:34:30.988601,0 days 00:00:53.139861,128,0.2,0.020903352340613458,1.0,0.99,0.04926016730690751,0.5,10,64,0.48933755458527306,PRUNED
38,38,-250000.0,2021-12-11 18:34:31.004559,2021-12-11 18:35:34.925584,0 days 00:01:03.921025,64,0.4,4.181861998722633e-08,0.8,0.98,0.000275681372661801,2.0,20,2048,0.7889523006382981,PRUNED
39,39,-248544.0,2021-12-11 18:35:34.941542,2021-12-11 18:36:40.552047,0 days 00:01:05.610505,16,0.1,4.163278624100837e-06,0.98,0.95,6.468829619273531e-05,0.9,5,512,0.5844265904098445,PRUNED
40,40,-1048.0,2021-12-11 18:36:40.568005,2021-12-11 18:37:34.318234,0 days 00:00:53.750229,512,0.3,0.05701545325573521,0.9,0.9,0.006240853210980485,0.8,1,8,0.40299911395099525,PRUNED
