,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_vf_coef,state
27,27,-250000.0,2021-12-13 14:44:36.858288,2021-12-13 14:46:02.650812,0 days 00:01:25.792524,64,0.1,4.6801381937051574e-05,0.8,0.9999,0.0006374682205650722,0.6,5,128,0.9992475369756075,PRUNED
28,28,-250000.0,2021-12-13 14:46:02.664775,2021-12-13 14:47:28.763479,0 days 00:01:26.098704,64,0.2,4.9847389590163e-08,0.8,0.9999,0.00047640662150365395,0.6,5,128,0.8228147463268775,PRUNED
29,29,-1860.0,2021-12-13 14:47:28.776444,2021-12-13 14:48:21.753741,0 days 00:00:52.977297,32,0.4,0.0006357092426760451,0.99,0.95,0.02595908684768069,0.3,1,32,0.2839310085089358,PRUNED
30,30,-1840.0,2021-12-13 14:48:21.766707,2021-12-13 14:50:10.098942,0 days 00:01:48.332235,32,0.4,0.00026535763183435705,0.9,0.98,6.36205694755199e-05,2.0,1,2048,0.05915171827278751,COMPLETE
31,31,-1850.0,2021-12-13 14:50:10.128862,2021-12-13 14:50:57.169039,0 days 00:00:47.040177,32,0.4,0.0016527079610684635,0.99,0.95,0.005589659888366849,0.3,1,1024,0.08246170753404901,PRUNED
32,32,-247734.0,2021-12-13 14:50:57.183002,2021-12-13 14:51:44.684944,0 days 00:00:47.501942,32,0.4,0.00025971777926157125,0.9,0.98,4.178425726426278e-05,2.0,1,2048,0.23161257943581479,PRUNED
33,33,-1850.0,2021-12-13 14:51:44.698907,2021-12-13 15:16:08.634197,0 days 00:24:23.935290,8,0.3,1.4175991459532372e-05,0.92,0.9,1.4926818587431765e-05,5.0,20,512,0.38517273076134323,PRUNED
34,34,130.0,2021-12-13 15:16:08.648159,2021-12-13 16:13:16.582176,0 days 00:57:07.934017,8,0.3,2.6313792155571597e-05,0.92,0.9,0.0002564325775383739,5.0,20,512,0.3702161447185192,COMPLETE
35,35,-1860.0,2021-12-13 16:13:16.613093,2021-12-13 17:11:50.839297,0 days 00:58:34.226204,8,0.3,1.2955651400475381e-06,0.9,0.98,0.0001415488041018832,2.0,20,1024,0.5643327039215871,COMPLETE
36,36,130.0,2021-12-13 17:11:50.875202,2021-12-13 18:08:22.555190,0 days 00:56:31.679988,8,0.3,3.234397046607285e-05,0.92,0.9,0.0002439083530182605,5.0,20,512,0.4157214920366358,COMPLETE
37,37,130.0,2021-12-13 18:08:22.599073,2021-12-13 19:05:51.408253,0 days 00:57:28.809180,8,0.3,4.874256859836394e-05,0.92,0.9,0.00028543596214890905,5.0,20,512,0.40095481938294886,COMPLETE
38,38,130.0,2021-12-13 19:05:51.452137,2021-12-13 20:03:10.161333,0 days 00:57:18.709196,8,0.3,3.155315237028041e-05,0.92,0.9,0.00034689266314760027,5.0,20,512,0.4518151470756077,COMPLETE
39,39,130.0,2021-12-13 20:03:10.190256,2021-12-13 21:00:54.890929,0 days 00:57:44.700673,8,0.3,3.7973028216134084e-05,0.92,0.9,0.00036479929001924144,5.0,20,512,0.4377724774560347,COMPLETE
40,40,-1860.0,2021-12-13 21:00:54.919852,2021-12-13 21:57:30.002738,0 days 00:56:35.082886,8,0.3,3.0126364972707265e-05,0.92,0.9,2.6428658403871088e-05,5.0,20,512,0.5237947917151388,COMPLETE
41,41,-244900.0,2021-12-13 21:57:30.031661,2021-12-13 22:55:05.262665,0 days 00:57:35.231004,8,0.3,7.409383990884241e-05,0.92,0.9,0.00032344490753784694,5.0,20,512,0.4155596844957628,COMPLETE
42,42,-247520.0,2021-12-13 22:55:05.292585,2021-12-13 23:52:46.927459,0 days 00:57:41.634874,8,0.3,2.6387434195235298e-05,0.92,0.9,0.00019355860645723977,5.0,20,512,0.47127705748958604,COMPLETE
43,43,-1850.0,2021-12-13 23:52:46.964361,2021-12-14 00:18:38.108385,0 days 00:25:51.144024,8,0.3,8.638099014263596e-06,0.92,0.9,0.0003935711027940375,5.0,20,512,0.6918504019338148,PRUNED
44,44,-1840.0,2021-12-14 00:18:38.122348,2021-12-14 01:16:00.197541,0 days 00:57:22.075193,8,0.3,0.0001690977872114317,0.92,0.9,0.0016407993887460704,5.0,20,512,0.3449757729298167,COMPLETE
45,45,130.0,2021-12-14 01:16:00.226463,2021-12-14 02:12:51.813206,0 days 00:56:51.586743,8,0.3,4.6695639623095116e-05,0.92,0.9,0.0001252412323998252,5.0,20,512,0.5297999784668908,COMPLETE
46,46,130.0,2021-12-14 02:12:51.843126,2021-12-14 03:12:04.000871,0 days 00:59:12.157745,8,0.3,5.9427865342928903e-05,0.92,0.9,0.00012446234134915816,5.0,20,512,0.5362623729000656,COMPLETE
47,47,-250000.0,2021-12-14 03:12:04.029794,2021-12-14 03:13:33.057663,0 days 00:01:29.027869,512,0.3,7.601114485840905e-06,0.92,0.9,1.0241249476368946e-05,5.0,20,512,0.4304848607614389,PRUNED
48,48,130.0,2021-12-14 03:13:33.071626,2021-12-14 04:10:44.183144,0 days 00:57:11.111518,8,0.3,1.6971950225757095e-05,0.92,0.9,0.00012826772001886376,5.0,20,512,0.5234932587486042,COMPLETE
49,49,-1860.0,2021-12-14 04:10:44.213064,2021-12-14 04:37:00.021118,0 days 00:26:15.808054,8,0.3,8.162580307418893e-07,0.92,0.9,0.00011970727168329599,5.0,20,64,0.5385175396246414,PRUNED
50,50,-250000.0,2021-12-14 04:37:00.035081,2021-12-14 05:02:00.101726,0 days 00:25:00.066645,8,0.3,7.512246348908948e-05,1.0,0.995,3.157530185666112e-05,5.0,20,512,0.7034953181605339,PRUNED
51,51,130.0,2021-12-14 05:02:00.115689,2021-12-14 05:59:13.372469,0 days 00:57:13.256780,8,0.3,1.5678802485079833e-05,0.92,0.9,8.462969268802988e-05,5.0,20,512,0.5024084557896765,COMPLETE
